model,task_id,n_episodes,std_final_reward,std_perf_contribution,std_plan_plus_code,perf_saturated,mean_final_reward,mean_perf_contribution,mean_plan_plus_code
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,57,0.13069,0.0,0.00398,True,0.78679,0.55,0.4289
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,57,0.05981,0.00994,0.00221,False,0.69682,0.54443,0.43148
