profile,task,N,spearman_rproc_e2e
default,bench_cdc_diabetes_health_indicators,336,0.053749678509910734
default,bench_lattice_physics,336,0.5873253602292866
default,bench_tunadromd,336,0.007198705771261691
default,synthetic_classification_known_dgp,336,0.19879493892065164
default,synthetic_regression_known_dgp,336,-0.02114057320180516
default,tabred_sberbank_housing,336,0.026256134883756378
default,tml_bank_customer_churn_ict_u_ai,336,0.07012536538815244
default,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.2308068548784044
default,tml_playground_series_s5e10,336,0.17379709315273636
default,tml_playground_series_s6e1,336,0.4377002314502406
equal,bench_cdc_diabetes_health_indicators,336,-0.008986242462913997
equal,bench_lattice_physics,336,0.5386296528511444
equal,bench_tunadromd,336,0.005643395318074231
equal,synthetic_classification_known_dgp,336,0.15288993446375063
equal,synthetic_regression_known_dgp,336,-0.022926694204605375
equal,tabred_sberbank_housing,336,0.01445029644431531
equal,tml_bank_customer_churn_ict_u_ai,336,0.06106391629149838
equal,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.21953847506585475
equal,tml_playground_series_s5e10,336,0.12753194762643727
equal,tml_playground_series_s6e1,336,0.416018202245545
performance_dominant,bench_cdc_diabetes_health_indicators,336,0.06260372958594054
performance_dominant,bench_lattice_physics,336,0.6506880166443695
performance_dominant,bench_tunadromd,336,0.02392139228886624
performance_dominant,synthetic_classification_known_dgp,336,0.22213381896031664
performance_dominant,synthetic_regression_known_dgp,336,-0.021967315149777497
performance_dominant,tabred_sberbank_housing,336,0.2752282554517818
performance_dominant,tml_bank_customer_churn_ict_u_ai,336,0.07770420388205364
performance_dominant,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.23929812251856403
performance_dominant,tml_playground_series_s5e10,336,0.19296396139792682
performance_dominant,tml_playground_series_s6e1,336,0.4613469372533235
plan_dominant,bench_cdc_diabetes_health_indicators,336,0.025078965421046606
plan_dominant,bench_lattice_physics,336,0.5887586596810171
plan_dominant,bench_tunadromd,336,0.02723747340664536
plan_dominant,synthetic_classification_known_dgp,336,0.0834894270398943
plan_dominant,synthetic_regression_known_dgp,336,-0.03283130837469358
plan_dominant,tabred_sberbank_housing,336,0.0022136175989690967
plan_dominant,tml_bank_customer_churn_ict_u_ai,336,0.02049374660334886
plan_dominant,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.16221057714838286
plan_dominant,tml_playground_series_s5e10,336,0.03796066995473311
plan_dominant,tml_playground_series_s6e1,336,0.4034468486337337
code_dominant,bench_cdc_diabetes_health_indicators,336,-0.01886088057781845
code_dominant,bench_lattice_physics,336,0.31340603755365554
code_dominant,bench_tunadromd,336,-0.04224441003903569
code_dominant,synthetic_classification_known_dgp,336,0.07769130984100743
code_dominant,synthetic_regression_known_dgp,336,-0.05738699211640722
code_dominant,tabred_sberbank_housing,336,-0.016612079334382645
code_dominant,tml_bank_customer_churn_ict_u_ai,336,0.022008220591223576
code_dominant,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.1480797558683697
code_dominant,tml_playground_series_s5e10,336,0.0409392608293259
code_dominant,tml_playground_series_s6e1,336,0.41076143219788497
low_performance,bench_cdc_diabetes_health_indicators,336,-0.017892041753976635
low_performance,bench_lattice_physics,336,0.3681787982143005
low_performance,bench_tunadromd,336,-0.029188555308515347
low_performance,synthetic_classification_known_dgp,336,0.06922433501266136
low_performance,synthetic_regression_known_dgp,336,-0.048905338966240434
low_performance,tabred_sberbank_housing,336,-0.012050186306808732
low_performance,tml_bank_customer_churn_ict_u_ai,336,0.02969995403414224
low_performance,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.1462033312338751
low_performance,tml_playground_series_s5e10,336,0.04557078410446397
low_performance,tml_playground_series_s6e1,336,0.4273891246035083
low_plan,bench_cdc_diabetes_health_indicators,336,0.0724587766524804
low_plan,bench_lattice_physics,336,0.519293693110266
low_plan,bench_tunadromd,336,0.007872747686776696
low_plan,synthetic_classification_known_dgp,336,0.1812835949736351
low_plan,synthetic_regression_known_dgp,336,-0.023016264137831827
low_plan,tabred_sberbank_housing,336,0.008641025437018232
