profile,condition_minus_flexible,N_pairs,delta_rproc,delta_rproc_ci_low,delta_rproc_ci_high,delta_e2e,delta_e2e_ci_low,delta_e2e_ci_high
default,reward_maximizer_hidden_hints,480,0.01161620693202212,-0.0012267331946892637,0.024288257439183072,-0.04980519233284337,-0.07838872248772405,-0.0217229588554866
default,reward_maximizer_disclosed_criteria,480,0.021161908101368435,0.008976739263085468,0.03338524297603359,-0.039288013724059954,-0.06672975965335205,-0.012358541905960321
default,red_team_vs_validators,120,-0.014706657548433732,-0.03505411325221272,0.006022466290896348,-0.08273902640396286,-0.13733410841624008,-0.02898555180232239
swap_performance_code,reward_maximizer_hidden_hints,480,0.020858764883161258,0.008521369484623535,0.032992136373455584,-0.04980519233284337,-0.07834680179679333,-0.02156639912298221
swap_performance_code,reward_maximizer_disclosed_criteria,480,0.026476090878036693,0.015254640965231141,0.03786124280021262,-0.039288013724059954,-0.06648667055713248,-0.012236275255926668
swap_performance_code,red_team_vs_validators,120,-0.006167875860835702,-0.025781805798663626,0.013758645580167194,-0.08273902640396286,-0.13777990800659393,-0.028514455169915937
